wavelength,"0","30","60","90"
400.35,0.07339,0.08333,0.06367,0.06267
400.81,0.07298,0.08307,0.06342,0.06212
401.27,0.0726,0.08281,0.06317,0.06159
401.73,0.07222,0.08256,0.06292,0.06107
402.19,0.07186,0.08231,0.06268,0.06058
402.65,0.07151,0.08206,0.06245,0.0601
403.12,0.07118,0.08182,0.06221,0.05965
403.58,0.07086,0.08158,0.06198,0.05921
404.04,0.07056,0.08135,0.06176,0.05879
404.5,0.07027,0.08112,0.06153,0.05839
404.96,0.06999,0.08089,0.06131,0.05801
405.42,0.06973,0.08067,0.0611,0.05764
405.88,0.06948,0.08045,0.06088,0.0573
406.34,0.06925,0.08024,0.06067,0.05697
406.81,0.06903,0.08003,0.06047,0.05666
407.27,0.06882,0.07982,0.06026,0.05637
407.73,0.06863,0.07962,0.06006,0.0561
408.19,0.06845,0.07942,0.05987,0.05585
408.65,0.06829,0.07923,0.05968,0.05562
409.11,0.06814,0.07904,0.05949,0.0554
409.57,0.068,0.07885,0.0593,0.05521
410.03,0.06784,0.07867,0.05918,0.05512
410.49,0.06772,0.07849,0.05904,0.05502
410.96,0.06763,0.07832,0.05887,0.05495
411.42,0.06757,0.07815,0.05871,0.05491
411.88,0.06751,0.07798,0.05856,0.05486
412.34,0.06747,0.07781,0.05835,0.05482
412.8,0.06744,0.07765,0.05814,0.05475
413.26,0.06741,0.07746,0.05797,0.05467
413.72,0.06737,0.07728,0.05779,0.0546
414.18,0.06735,0.07717,0.05762,0.05454
414.64,0.06735,0.07706,0.05753,0.05451
415.1,0.06737,0.07696,0.05741,0.05446
415.56,0.06741,0.07681,0.05734,0.0544
416.02,0.06747,0.07668,0.05726,0.05431
416.48,0.06752,0.07659,0.05715,0.05414
416.95,0.06757,0.07649,0.05705,0.05401
417.41,0.06759,0.07644,0.05692,0.05382
417.87,0.06757,0.07643,0.05672,0.05359
418.33,0.06752,0.07642,0.05657,0.0534
418.79,0.06745,0.07643,0.05642,0.05322
419.25,0.06735,0.07641,0.05628,0.05301
419.71,0.06725,0.07632,0.05618,0.05281
420.17,0.06716,0.07619,0.05601,0.05256
420.63,0.06706,0.07604,0.05591,0.05236
421.09,0.06695,0.07586,0.0558,0.0522
421.55,0.06683,0.07564,0.0557,0.052
422.01,0.06667,0.07538,0.0556,0.05172
422.47,0.06647,0.07512,0.05548,0.05147
422.93,0.06623,0.07489,0.0554,0.05131
423.39,0.06597,0.07475,0.05535,0.05119
423.85,0.06569,0.07458,0.05532,0.05106
424.31,0.06541,0.07437,0.05529,0.05093
424.77,0.06515,0.07419,0.05521,0.05076
425.23,0.06491,0.07402,0.0551,0.05064
425.69,0.0647,0.07388,0.055,0.05057
426.15,0.06455,0.07369,0.05487,0.05049
426.61,0.06444,0.0735,0.05476,0.05042
427.07,0.06438,0.07332,0.05465,0.05036
427.53,0.06436,0.07317,0.05458,0.05037
427.99,0.06437,0.07302,0.0545,0.05039
428.45,0.06441,0.07285,0.05445,0.05037
428.91,0.06446,0.0727,0.05436,0.0503
429.37,0.06449,0.07256,0.0543,0.05026
429.83,0.06451,0.07239,0.05417,0.05021
430.29,0.06451,0.07223,0.05405,0.05016
430.75,0.06451,0.07205,0.05394,0.05007
431.21,0.06449,0.07186,0.05382,0.05
431.67,0.06448,0.0717,0.05368,0.04999
432.13,0.06449,0.07155,0.05358,0.05
432.59,0.06453,0.07143,0.05355,0.05002
433.05,0.0646,0.07132,0.05356,0.0501
433.51,0.06467,0.07118,0.05354,0.05014
433.97,0.06474,0.07101,0.05354,0.05017
434.43,0.06479,0.07088,0.05352,0.05021
434.89,0.06481,0.07083,0.05353,0.05024
435.35,0.0648,0.07082,0.05358,0.05031
435.81,0.06477,0.07078,0.05362,0.05038
436.27,0.06474,0.0707,0.0537,0.05044
436.73,0.06472,0.07066,0.05382,0.05045
437.19,0.06472,0.07066,0.0539,0.05052
437.65,0.06474,0.07067,0.05401,0.05059
438.11,0.06478,0.07065,0.05416,0.0507
438.57,0.06481,0.07062,0.05421,0.05081
439.03,0.06485,0.07063,0.05429,0.05091
439.48,0.06487,0.07066,0.05428,0.05101
439.94,0.06486,0.07068,0.0543,0.0511
440.4,0.06482,0.0707,0.0543,0.05114
