x,y,sigma,"F[1](x)","F[2](x)","F[3](x)","F[4](x)","F[5](x)","F[6](x)","F[7](x)","F(x)","y-F(x)","abs(y-F(x))","(y-F(x))/s"
0.14,-14.8542,21,3.28994e-07,1.03209e-22,6.52338e-68,0,2.10917e-139,9.95738e-146,6.63355e-229,3.28994e-07,-14.8542,14.8542,-0.707343
0.145,62.9272,23.2379,1.84189e-06,1.01174e-21,4.71423e-66,0,6.4504e-137,9.60152e-144,2.81331e-226,1.84189e-06,62.9272,62.9272,2.70796
0.15,48.0776,23.3666,9.63408e-06,9.47123e-21,3.21994e-64,0,1.87574e-134,8.97651e-142,1.15272e-223,9.63408e-06,48.0776,48.0776,2.05753
0.155,41.2615,23.6643,4.70787e-05,8.46708e-20,2.07867e-62,0,5.18641e-132,8.13669e-140,4.56323e-221,4.70787e-05,41.2614,41.2614,1.74361
0.16,83.1435,24.96,0.000214936,7.22852e-19,1.26829e-60,0,1.36355e-129,7.15091e-138,1.74524e-218,0.000214936,83.1433,83.1433,3.33107
0.165,68.3884,25.0998,0.000916773,5.89322e-18,7.31399e-59,0,3.40869e-127,6.09323e-136,6.44879e-216,0.000916773,68.3875,68.3875,2.72462
0.17,24.6607,24.6779,0.00365329,4.58822e-17,3.98646e-57,0,8.10237e-125,5.03393e-134,2.30218e-213,0.00365329,24.657,24.657,0.999153
0.175,59.625,25.8457,0.0136011,3.41134e-16,2.05362e-55,0,1.83125e-122,4.03217e-132,7.94029e-211,0.0136011,59.6114,59.6114,2.30644
0.18,69.9461,26.533,0.0473081,2.4221e-15,9.99886e-54,0,3.93543e-120,3.13144e-130,2.64589e-208,0.0473081,69.8988,69.8988,2.63441
0.185,38.2885,26.4575,0.153732,1.64229e-14,4.6013e-52,6.53918e-318,8.04168e-118,2.35788e-128,8.51816e-206,0.153732,38.1348,38.1348,1.44136
0.19,-14.6545,26.0192,0.466728,1.06339e-13,2.00129e-50,1.52862e-310,1.56247e-115,1.72136e-126,2.64946e-203,0.466728,-15.1212,15.1212,-0.581154
0.195,-9.93007,26.7021,1.32383,6.57546e-13,8.22692e-49,2.9326e-303,2.8866e-113,1.21842e-124,7.96172e-201,1.32383,-11.2539,11.2539,-0.421462
0.2,3.13884,27.4955,3.50808,3.88282e-12,3.19642e-47,4.61661e-296,5.07074e-111,8.36168e-123,2.3115e-198,3.50808,-0.369238,0.369238,-0.0134291
0.205,9.35405,28.0713,8.68511,2.18956e-11,1.17379e-45,5.96363e-289,8.46966e-109,5.56369e-121,6.48365e-196,8.68511,0.668941,0.668941,0.02383
0.21,27.0578,28.7228,20.0887,1.17911e-10,4.07395e-44,6.32142e-282,1.34515e-106,3.58927e-119,1.75704e-193,20.0887,6.96918,6.96918,0.242636
0.215,87.391,29.9666,43.4106,6.06372e-10,1.33641e-42,5.49839e-275,2.03136e-104,2.24503e-117,4.60027e-191,43.4106,43.9804,43.9804,1.46765
0.22,164.836,31.3369,87.6414,2.97792e-09,4.14345e-41,3.9244e-268,2.91683e-102,1.36148e-115,1.16365e-188,87.6414,77.1945,77.1945,2.46338
0.225,289.875,33.2866,165.307,1.39661e-08,1.21418e-39,2.29841e-261,3.9824e-100,8.00518e-114,2.8438e-186,165.307,124.567,124.567,3.74226
0.23,353.99,34.176,291.302,6.25496e-08,3.36282e-38,1.10458e-254,5.17e-98,4.56358e-112,6.71449e-184,291.302,62.6871,62.6871,1.83424
0.235,509.663,36.2629,479.585,2.67524e-07,8.80286e-37,4.35597e-248,6.38183e-96,2.52239e-110,1.53167e-181,479.585,30.0782,30.0782,0.829446
0.24,756.377,39.3573,737.659,1.09267e-06,2.17792e-35,1.40958e-241,7.49048e-94,1.35174e-108,3.37564e-179,737.659,18.7176,18.7176,0.475582
0.245,1023.61,42.4264,1060.02,4.26191e-06,5.09284e-34,3.74291e-235,8.35958e-92,7.02338e-107,7.1876e-177,1060.02,-36.4094,36.4094,-0.858179
