"thth","T200","T300","T400","T500","T600","T700","T800","T900"
10.0001,-70.5689,-10.51378,46.8837,107.48266,166.7275,232.00958,309.24132,395.68708
10.02055,-69.34818,-10.48184,47.40745,107.44109,166.70656,232.2276,309.21701,395.72656
10.04099,-70.28239,-10.57804,48.31464,107.5174,167.26333,231.97292,309.17799,395.71682
10.06144,-69.89353,-9.40393,46.78208,107.35818,166.81844,232.2999,309.14381,395.68708
10.08189,-68.64443,-9.73109,47.38563,108.60646,166.81813,232.31068,309.45304,395.81057
10.10233,-72.33491,-9.12831,49.17417,107.27609,166.84922,232.29927,309.49219,395.93792
10.12278,-68.56549,-10.27095,48.39109,108.89276,166.85323,232.30057,309.14105,395.68708
10.14323,-71.1027,-9.83913,49.05396,109.2563,166.9438,231.96755,309.52823,395.71901
10.16367,-69.16146,-7.20729,48.86781,108.87995,167.25495,232.36365,309.33435,396.00276
10.18412,-69.31886,-10.92017,47.48594,107.27786,166.54531,232.05229,309.24556,395.85615
10.20456,-68.69612,-8.36774,47.97214,108.84448,167.33318,232.25724,309.22894,396.00948
10.22501,-69.41548,-9.46549,46.53792,109.00161,166.86792,232.11568,308.84453,395.68708
10.24546,-70.83159,-9.04528,47.77943,108.48094,167.19818,232.2113,309.60267,396.06297
10.2659,-70.35005,-9.08596,47.39005,107.8549,166.65656,231.88802,308.9219,395.85448
10.28635,-69.18003,-9.64966,47.56688,108.0112,167.18385,231.97953,309.53253,395.71292
10.3068,-70.4116,-9.02102,47.5801,110.09911,167.08099,232.10505,309.24819,395.88766
10.32724,-69.72196,-8.61406,47.67521,109.3487,167.05432,232.12833,309.13,395.74161
10.34769,-69.40484,-10.16716,47.76099,108.64583,166.66448,231.95849,309.02188,395.78286
10.36814,-69.14837,-7.09422,46.87396,108.17276,166.98661,232.26078,309.53018,395.92141
10.38858,-71.00739,-11.02707,48.37641,108.63438,166.98349,231.91656,309.15609,395.87953
10.40903,-69.56976,-9.57751,47.0013,107.03469,166.87437,232.36115,308.92357,395.94927
10.42947,-69.15611,-10.10826,48.96354,109.59115,167.10188,232.09453,309.35453,395.68708
10.44992,-71.21271,-10.66488,46.72094,108.05828,166.64099,232.17083,309.37114,396.04266
10.47037,-69.32029,-9.10995,46.74854,107.93948,166.78891,232.00958,309.16818,395.68708
10.49081,-69.09483,-9.56883,47.04458,108.05964,166.56276,231.78958,308.89675,395.7062
10.51126,-70.76723,-9.06412,48.1701,106.65411,166.96911,232.25677,309.33552,395.8913
10.53171,-68.71478,-10.98929,47.02099,108.68635,166.69943,232.13844,308.93592,395.91677
10.55215,-70.3287,-9.75477,46.53703,107.94984,166.89073,231.94031,309.15192,395.74672
10.5726,-69.73257,-10.47273,48.73708,106.53948,166.76135,232.29906,309.09184,395.85573
10.59305,-68.50458,-9.36361,48.48109,109.53943,167.07786,231.95266,309.03687,395.68708
10.61349,-69.24073,-9.74922,47.86568,107.1362,166.6012,232.06797,309.45562,395.75219
10.63394,-70.72892,-10.28708,48.1463,108.55094,166.6938,232.01667,308.9643,395.90411
