words,n
TiO₂,35
ZnO,33
electrodeposition,23
film,22
thin film,22
semiconductor,20
oxide,18
growth,13
methylene blue,12
effect,11
optical,11
photocatalytic,11
solution,11
crystal,10
electrode,10
material,10
properties,10
size,10
solar cell,10
study,10
data,9
dye-sensitised,9
electrochemical,9
energy,9
CdS,8
Raman,8
application,8
aqueous,8
nanoparticle,8
cathodic,7
deposited,7
nanorod,7
scattering,7
synthesis,7
H₂O,6
based,6
characterisation,6
chemical,6
composite,6
electron-phonon,6
nanocrystalline,6
photoelectrochemical,6
solar,6
spectra,6
temperature,6
water splitting,6
x-ray,6
Fe,5
absorption,5
coupling,5
dependence,5
electron,5
hematite,5
influence,5
light,5
metal,5
method,5
nanostructured,5
nanostructures,5
powder,5
preparation,5
quantum dot,5
spectroscopy,5
IUPAC,4
activity,4
anodic,4
bath,4
complex,4
deposition,4
determination,4
diffraction,4
electrophoresis,4
fabrication,4
improvement,4
particles,4
photocatalysis,4
porous,4
potential,4
principles,4
process,4
report,4
research,4
scientific,4
structure,4
substrate,4
surface,4
system,4
titanate,4
transparent,4
RuO₂,3
WO₃,3
absolute,3
amorphous,3
analysis,3
atomic,3
band gap,3
behaviour,3
book,3
catalyst,3
characteristics,3
chemically,3
colloids,3
credit,3
degradation,3
development,3
dust,3
dye,3
electrosynthesis,3
fair,3
formation,3
function,3
future,3
glass,3
global,3
kinetic,3
level,3
low,3
mesoporous,3
model,3
molecules,3
monomer,3
nanowire,3
notation,3
patterns,3
phonon,3
photocatalyst,3
photocatalytic degradation,3
positions,3
prepared,3
pulsed,3
reaction,3
recommendations,3
review,3
science,3
shape,3
sol-gel,3
spectroscopic,3
standard,3
structural,3
theory,3
thin,3
visible light,3
Al,2
Al₂O₃,2
Au,2
ITO,2
LED,2
R,2
agent,2
aggregation,2
anodisation,2
array,2
atmosphere,2
band edge,2
boundary,2
change,2
charge,2
chemistry,2
colour,2
compendium,2
comprehensive,2
correlation,2
crystalline,2
device,2
different,2
dimer,2
dispersion,2
efficient,2
electricity,2
electrochemistry,2
electrochromic,2
electrolysis,2
electronic,2
electrophoretic,2
elements,2
engineering,2
equation,2
evaluation,2
evidence,2
flatband,2
fluorescence,2
free,2
fundamentals,2
glossary,2
graphene,2
heterogeneous,2
heterostructure,2
hierarchical,2
high,2
history,2
hybrid,2
hydrophilic,2
in situ,2
infrared,2
introductory,2
layer,2
lines,2
low-dimensional,2
magnon,2
mechanism,2
microscopy,2
modes,2
novel,2
number,2
och,2
optoelectronic,2
ordered,2
p-type,2
package,2
particle,2
perovskite,2
phase,2
photochemistry,2
photoelectrochemistry,2
photoelectrode,2
photoinduced,2
photovoltaic,2
polarized,2
polyatomic,2
production,2
public,2
quantized,2
quantum,2
quantum confinement,2
radiation,2
recent,2
remarks,2
renewable,2
resonance,2
scherrer,2
section,2
selected,2
semiconducting,2
simulation,2
single,2
size-dependent,2
sol,2
space,2
spectrum,2
states,2
structured,2
substances,2
suspensions,2
synthetic,2
technology,2
terms,2
toward,2
transfer,2
transformation,2
transition,2
units,2
various,2
white,2
world,2
zinc,2
3D,1
Auger,1
Bohr,1
CBD,1
CO₂,1
Cd,1
FeO,1
Fermi,1
Fe₂O₃,1
Fityk,1
Ga,1
GaP,1
Great Britain,1
H₂,1
IR,1
JCPDS,1
Kα,1
NH₃,1
Ru,1
Se,1
SiC,1
SiO₂,1
